Timestamp,ExecutionType,NumIterations,ImageWidth,ImageHeight,NumAngles,NumDetectors,ScanTime_ms,ProjectionTime_ms,ReconstructionTime_ms,FinalUpdateNorm
2025-09-15 11:41:13,Metal,1000,256,256,90,725,505.822,168.501,4304.1,NA
2025-09-15 11:54:57,Metal,100,256,256,90,725,131.329,87.02,458.66,NA
2025-09-15 11:57:12,Metal,100,256,256,90,725,128.455,9.424,464.053,NA
2025-09-15 11:58:05,Metal,100,256,256,90,725,137.233,212.603,484.55,NA
2025-09-15 11:58:43,Metal,100,256,256,90,725,153.679,12.509,457.861,NA
2025-09-15 12:02:21,Metal,100,256,256,90,725,130.903,242.817,464.079,NA
2025-09-15 12:03:17,Metal,100,256,256,90,725,123.465,213.752,459.874,NA
2025-09-15 12:04:15,Metal,100,256,256,90,725,155.876,215.07,467.264,NA
2025-09-15 12:06:34,Metal,100,256,256,90,725,117.167,6.658,462.71,NA
2025-09-15 12:07:37,Metal,100,256,256,90,725,117.909,203.034,480.484,NA
2025-09-15 12:08:38,Metal,100,256,256,90,725,123.599,6.79,485.082,NA
2025-09-15 12:09:18,Metal,100,256,256,90,725,126.135,7.265,520.577,NA
2025-09-15 12:09:44,Metal,100,256,256,90,725,140.12,12.488,503.699,NA
2025-09-15 12:10:12,Metal,100,256,256,90,725,123.975,5.478,467.572,NA
2025-09-15 12:11:38,Metal,100,256,256,90,725,133.279,201.865,480.286,NA
2025-09-15 12:12:35,Metal,100,256,256,90,725,137.99,204.515,469.588,NA
2025-09-15 12:14:25,Metal,1000,256,256,90,725,153.12,5.902,4235.27,NA
2025-09-15 12:15:44,Metal,100,256,256,90,725,125.181,202.63,472.506,NA
2025-09-15 12:17:16,Metal,100,256,256,90,725,142.21,7.944,472.491,NA
2025-09-15 12:17:46,Metal,100,256,256,90,725,123.292,6.838,472.381,NA
2025-09-15 12:18:39,Metal,100,256,256,90,725,131.521,16.064,538.733,NA
2025-09-15 12:21:48,Metal,100,256,256,90,725,128.217,45.336,465.766,NA
2025-09-15 12:22:22,Metal,100,256,256,90,725,108.163,6.386,463.329,NA
2025-09-15 12:22:43,Metal,100,256,256,90,725,179.729,12.427,470.619,NA
2025-09-15 12:23:32,Metal,500,256,256,90,725,173.997,18.541,2180.28,NA
2025-09-15 12:23:54,Metal,500,256,256,90,725,511.632,13.015,2169.04,NA
2025-09-15 12:24:00,Metal,100,256,256,90,725,460.778,7.142,472.021,NA
2025-09-15 12:24:21,Metal,1000,256,256,90,725,483.196,5.352,4267.96,NA
2025-09-15 12:26:58,Metal,100,256,256,90,725,500.701,195.813,453.473,NA
2025-09-15 12:31:06,Metal,100,256,256,90,725,505.302,7.714,454.636,NA
2025-09-15 12:31:19,Metal,1000,256,256,90,725,500.894,5.175,4292.97,NA
2025-09-15 12:31:42,Metal,500,256,256,90,725,510.844,11.18,2151.04,NA
2025-09-15 12:32:35,Metal,100,256,256,90,725,494.57,200.301,472.054,NA
2025-09-15 12:33:26,Metal,100,256,256,90,725,498.858,57.507,462.833,NA
2025-09-15 12:33:37,Metal,500,256,256,90,725,461.988,5.319,2184.65,NA
2025-09-15 12:34:50,Metal,100,256,256,90,725,506.65,58.744,471.565,NA
2025-09-15 12:36:11,Metal,100,256,256,90,725,502.66,23.757,463.551,NA
2025-09-15 12:36:46,Metal,100,256,256,90,725,501.487,216.436,473.137,NA
2025-09-15 12:37:17,Metal,100,256,256,90,725,496.946,202.252,468.508,NA
2025-09-15 12:37:26,Metal,500,256,256,90,725,452.894,5.141,2163.07,NA
2025-09-15 12:54:20,Metal,100,256,256,90,725,510.576,198.939,460.74,NA
2025-09-15 12:55:21,Metal,100,256,256,90,725,510.909,204.877,475.033,NA
2025-09-15 12:55:29,Metal,500,256,256,90,725,452.526,5.223,2147.56,NA
2025-09-15 12:56:13,Metal,100,256,256,90,725,503.86,234.256,476.476,NA
2025-09-15 12:56:21,Metal,500,256,256,90,725,491.371,9.266,2172.29,NA
2025-09-15 12:58:07,Metal,100,256,256,90,725,505.847,8.628,455.196,NA
2025-09-15 13:20:22,Metal,100,256,256,90,725,512.328,7.723,446.583,NA
2025-09-15 13:24:39,Metal,100,256,256,90,725,512.86,18.095,493.311,NA
2025-09-15 13:46:41,Metal,100,256,256,90,725,522.025,7.927,492.546,NA
2025-09-15 13:56:04,Metal,100,256,256,90,725,521.789,17.016,496.275,NA
2025-09-15 13:57:11,Metal,100,256,256,90,725,521.712,7.496,482.4,NA
2025-09-15 13:58:37,Metal,100,256,256,90,725,502.656,7.975,486.538,NA
2025-09-15 14:11:42,Metal,100,256,256,90,725,509.29,5.863,478.858,NA
2025-09-15 14:14:14,Metal,100,256,256,90,725,513.333,18.913,461.943,NA
2025-09-15 14:15:38,Metal,1000,256,256,90,725,498.295,7.077,4274.84,NA
2025-09-15 14:18:11,Metal,100,256,256,90,725,506.401,8.921,470.366,NA
2025-09-15 14:18:42,Metal,100,256,256,90,725,537.547,8.044,465.95,NA
2025-09-15 14:35:12,Metal,1000,256,256,90,725,495.33,12.671,4295.84,NA
2025-09-15 14:35:43,Metal,1000,256,256,90,725,140.286,9.848,4219.15,NA
2025-09-15 14:35:52,Metal,1000,256,256,90,725,94.11,5.267,4260.27,NA
2025-09-15 14:36:01,Metal,1000,256,256,90,725,94.776,9.158,4249.01,NA
2025-09-15 14:38:31,Metal,1000,256,256,90,725,154.899,16.206,4313.52,NA
2025-09-15 14:40:41,Metal,1000,256,256,90,725,127.239,18.166,4285.61,NA
2025-09-15 14:41:11,Metal,2000,256,256,90,725,138.759,11.049,8272.98,NA
2025-09-15 14:41:20,Metal,500,256,256,90,725,129.925,6.854,2124.73,NA
2025-09-15 14:41:24,Metal,100,256,256,90,725,94.458,12.985,448.807,NA
2025-09-15 14:41:26,Metal,10,256,256,90,725,106.163,5.802,74.6227,NA
2025-09-15 14:43:32,Metal,1000,256,256,90,725,144.731,12.535,4238.34,NA
2025-09-15 17:02:07,Metal,100,256,256,90,725,475.678,12.66,474.009,51.1552
2025-09-15 17:03:29,Metal,1000,256,256,90,725,494.358,14.757,4503.05,36.6415
2025-09-15 17:04:22,Metal,100,256,256,90,725,513.522,7.198,490.933,51.1552
2025-09-15 17:46:35,Metal,10,256,256,90,725,490.438,12.821,73.3591,61.0518
2025-09-15 17:46:37,Metal,10,256,256,90,725,462.523,5.545,75.5481,61.0518
2025-09-15 17:46:39,Metal,10,256,256,90,725,448.182,5.586,69.332,61.0518
2025-09-15 17:46:41,Metal,10,256,256,90,725,457.155,5.742,63.3675,61.0518
2025-09-15 17:46:46,Metal,500,256,256,90,725,458.155,5.221,2246.31,41.9304
2025-09-15 17:46:50,Metal,500,256,256,90,725,457.51,6.763,2249.36,41.9304
2025-09-15 17:46:55,Metal,500,256,256,90,725,470.911,7.668,2253.13,41.9304
2025-09-15 18:11:38,Metal,2000,256,256,90,725,500.213,17.345,9475.71,30.6532
2025-09-15 18:11:53,Metal,2000,256,256,90,725,532.815,5.987,9045.9,30.6532
2025-09-15 18:12:13,Metal,2000,256,256,90,725,500.518,6.836,8996.91,30.6532
2025-09-15 18:12:46,Metal,2000,256,256,90,725,534.358,9.953,9036.6,30.6532
2025-09-15 18:12:59,Metal,1000,256,256,90,725,536.826,8.446,4588.81,36.6415
2025-09-15 18:13:16,Metal,2000,256,256,90,725,524.348,9.051,8953.4,30.6532
2025-09-15 19:55:00,Metal,4000,256,256,90,725,484.36,12.647,18060.5,24.7619
2025-09-15 19:56:28,Metal,10000,256,256,90,725,503.795,12.254,44254.2,20.2173
2025-09-15 20:39:03,Metal,1000,256,256,90,725,515.43,14.649,4559.85,36.6415
2025-09-15 20:39:47,Metal,1000,256,256,90,725,507.776,20.698,4679.43,36.6415
