Timestamp,ImageWidth,ImageHeight,NumAngles,NumDetectors,NormalisationTime,Type
2025-10-04 12:34:51,2048,2048,360,5793,17.563,Sequential
2025-10-04 12:35:27,1024,1024,360,2897,8.73,Sequential
2025-10-04 12:36:39,1024,1024,180,2897,4.378,Sequential
2025-10-04 12:36:40,1024,1024,180,2897,4.376,Sequential
2025-10-04 12:36:42,1024,1024,180,2897,4.468,Sequential
2025-10-04 12:40:54,2048,2048,720,5793,34.986,Sequential
2025-10-04 12:40:57,2048,2048,720,5793,35.439,Sequential
2025-10-04 12:41:00,2048,2048,720,5793,35.065,Sequential
2025-10-04 14:39:42,256,256,90,725,1.114,Sequential
2025-10-04 14:39:45,256,256,90,725,0.572,Sequential
2025-10-04 14:39:47,256,256,90,725,0.683,Sequential
2025-10-04 14:39:59,512,512,90,1449,1.598,Sequential
2025-10-04 14:40:03,512,512,90,1449,13.246,Sequential
2025-10-04 14:40:07,512,512,90,1449,1.598,Sequential
2025-10-04 14:40:10,512,512,90,1449,1.581,Sequential
2025-10-04 14:40:12,512,512,90,1449,1.583,Sequential
2025-10-04 14:40:13,512,512,90,1449,1.583,Sequential
2025-10-04 14:40:14,512,512,90,1449,1.71,Sequential
2025-10-04 14:40:16,512,512,90,1449,1.672,Sequential
2025-10-04 14:40:17,512,512,90,1449,1.701,Sequential
2025-10-04 15:04:15,512,512,180,1449,2.326,Sequential
2025-10-04 15:04:16,512,512,180,1449,2.575,Sequential
2025-10-04 15:04:17,512,512,180,1449,2.439,Sequential
2025-10-04 15:04:37,512,512,360,1449,4.447,Sequential
2025-10-04 15:04:39,512,512,360,1449,4.394,Sequential
2025-10-04 15:04:40,512,512,360,1449,4.43,Sequential
2025-10-04 15:04:52,256,256,360,725,2.544,Sequential
2025-10-04 15:04:53,256,256,360,725,2.277,Sequential
2025-10-04 15:04:54,256,256,360,725,2.457,Sequential
2025-10-04 15:05:02,256,256,180,725,1.133,Sequential
2025-10-04 15:05:03,256,256,180,725,1.23,Sequential
2025-10-04 15:05:04,256,256,180,725,1.592,Sequential
2025-10-04 15:18:03,4096,4096,180,11586,18.118,Sequential
2025-10-04 15:18:10,4096,4096,180,11586,17.48,Sequential
2025-10-04 15:18:56,4096,4096,180,11586,17.574,Sequential
2025-10-04 15:18:59,4096,4096,180,11586,17.574,Sequential
2025-10-04 15:25:02,4096,4096,360,11586,36.457,Sequential
2025-10-04 15:25:04,4096,4096,360,11586,34.965,Sequential
2025-10-04 15:25:07,4096,4096,360,11586,35.066,Sequential
2025-10-04 15:43:34,4096,4096,720,11586,70.757,Sequential
2025-10-04 15:43:37,4096,4096,720,11586,70.604,Sequential
2025-10-04 15:43:41,4096,4096,720,11586,70.742,Sequential
2025-10-04 15:43:45,4096,4096,720,11586,70.48,Sequential
2025-10-04 16:10:35,4096,4096,720,11586,34.163,OpenMP
2025-10-04 16:11:47,4096,4096,720,11586,35.833,OpenMP
2025-10-04 16:12:09,4096,4096,360,11586,16.029,OpenMP
2025-10-04 16:12:28,4096,4096,360,11586,17.768,OpenMP
2025-10-04 16:12:31,4096,4096,360,11586,17.232,OpenMP
2025-10-04 16:12:48,4096,4096,180,11586,9.607,OpenMP
2025-10-04 16:12:50,4096,4096,180,11586,9.535,OpenMP
2025-10-04 16:12:53,4096,4096,180,11586,7.786,OpenMP
2025-10-04 16:13:20,2048,2048,360,5793,8.511,OpenMP
2025-10-04 16:13:22,2048,2048,360,5793,7.894,OpenMP
2025-10-04 16:13:25,2048,2048,360,5793,9.664,OpenMP
2025-10-04 16:13:36,2048,2048,360,5793,11.067,OpenMP
2025-10-04 16:13:49,2048,2048,720,5793,19.402,OpenMP
2025-10-04 16:13:52,2048,2048,720,5793,18.614,OpenMP
2025-10-04 16:13:55,2048,2048,720,5793,18.68,OpenMP
2025-10-04 16:14:49,1024,1024,360,2897,6.021,OpenMP
2025-10-04 16:14:50,1024,1024,360,2897,4.13,OpenMP
2025-10-04 16:14:51,1024,1024,360,2897,3.618,OpenMP
2025-10-04 16:15:06,1024,1024,180,2897,2.996,OpenMP
2025-10-04 16:15:08,1024,1024,180,2897,2.52,OpenMP
2025-10-04 16:15:09,1024,1024,180,2897,1.755,OpenMP
2025-10-04 16:15:23,512,512,180,1449,1.371,OpenMP
2025-10-04 16:15:24,512,512,180,1449,1.109,OpenMP
2025-10-04 16:15:25,512,512,180,1449,1.461,OpenMP
2025-10-04 16:15:36,512,512,360,1449,2.512,OpenMP
2025-10-04 16:15:38,512,512,360,1449,2.426,OpenMP
2025-10-04 16:15:39,512,512,360,1449,1.553,OpenMP
2025-10-04 16:15:51,512,512,90,1449,0.934,OpenMP
2025-10-04 16:15:52,512,512,90,1449,0.669,OpenMP
2025-10-04 16:15:53,512,512,90,1449,0.647,OpenMP
2025-10-04 16:16:07,256,256,90,725,1.089,OpenMP
2025-10-04 16:16:08,256,256,90,725,0.612,OpenMP
2025-10-04 16:16:09,256,256,90,725,0.52,OpenMP
2025-10-04 16:16:25,256,256,180,725,1.373,OpenMP
2025-10-04 16:16:26,256,256,180,725,1.202,OpenMP
2025-10-04 16:16:27,256,256,180,725,0.747,OpenMP
2025-10-04 16:16:28,256,256,180,725,0.682,OpenMP
2025-10-04 16:16:42,256,256,360,725,1.66,OpenMP
2025-10-04 16:16:43,256,256,360,725,1.552,OpenMP
2025-10-04 16:16:44,256,256,360,725,1.174,OpenMP
